cluster,cluster_size,uncertainty,centroid_uncertainty,host_entropy,short_entropy,time_span,true_attack_alerts,true_attack_ratio
102,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
145,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
237,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
187,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
103,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
97,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
109,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
159,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
180,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
80,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
206,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
204,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
236,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
135,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
161,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
95,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
168,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
239,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
101,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
88,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
127,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
157,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
154,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
170,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
165,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
218,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
242,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
216,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
208,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
203,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
182,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
185,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
205,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
173,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
166,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
178,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
148,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
149,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
151,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
46,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
45,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
43,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
106,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
79,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
94,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
96,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
77,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
64,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
119,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
122,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
116,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
160,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
54,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
63,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
42,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
98,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
111,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
110,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
82,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
233,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
75,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
72,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
100,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
104,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
84,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
92,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
81,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
90,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
171,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
162,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
197,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
210,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
190,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
123,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
163,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
136,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
121,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
189,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
225,4,0.1000071930335583,1.465248030385613e-05,-0.0,-0.0,0.04315805435180664,0,0.0
49,5,0.09137287412175721,0.003826270418738398,-0.0,-0.0,15.0,0,0.0
126,6,0.08371344299306224,0.003938040519162134,-0.0,-0.0,21.0,0,0.0
74,6,0.08347483805860467,0.004025091282095938,-0.0,-0.0,1.0,0,0.0
34,6,0.08337372022654724,0.0032139652355485104,-0.0,-0.0,20.0,0,0.0
8,6,0.08301086687146696,0.0023767602489503936,-0.0,-0.0,21.0,0,0.0
22,6,0.08295168179347628,0.002276102050946416,-0.0,-0.0,20.0,0,0.0
27,6,0.08269890738947816,0.0017143811531727948,-0.0,-0.0,20.0,0,0.0
69,6,0.08261296337309855,0.0016468512402304514,-0.0,-0.0,16.0,0,0.0
3,6,0.08253891558416739,0.0013588438080377463,-0.0,-0.0,20.0,0,0.0
177,6,0.08245333762500796,0.0012921273555847046,-0.0,-0.0,16.0,0,0.0
230,6,0.08240610832825612,0.0016501363257658275,-0.0,-0.0,1.0,0,0.0
179,6,0.08230076628300927,0.0008913515338592193,-0.0,-0.0,18.0,0,0.0
61,6,0.08222066733697478,0.0007442180735356407,-0.0,-0.0,17.0,0,0.0
131,6,0.08207363673706149,0.00047921180212340264,-0.0,-0.0,15.0,0,0.0
16,6,0.08204012265133878,0.00025041506841860794,-0.0,-0.0,20.0,0,0.0
227,6,0.08203338906436516,0.00042063672699577115,-0.0,-0.0,14.0,0,0.0
70,6,0.08202096209965837,0.000794255817770817,-0.0,-0.0,1.0,0,0.0
65,6,0.08194491490939437,0.0006252620616286064,-0.0,-0.0,1.0,0,0.0
99,6,0.0819413435012979,4.164857470012606e-08,-0.0,-0.0,21.0,0,0.0
152,6,0.08191055799681378,0.0001476787991038231,-0.0,-0.0,14.0,0,0.0
68,6,0.08190625471145227,0.0001998443378066206,-0.0,-0.0,12.0,0,0.0
142,6,0.08189160964898379,0.0003216207421976591,-0.0,-0.0,7.0,0,0.0
71,6,0.08188175239458606,0.00048490091761010934,-0.0,-0.0,1.0,0,0.0
60,6,0.08187106413639929,2.9050467318492146e-05,-0.0,-0.0,15.0,0,0.0
115,6,0.08185022994959584,4.4480669483704105e-05,-0.0,-0.0,13.0,0,0.0
141,6,0.08183580667073413,4.329313621076469e-05,-0.0,-0.0,12.0,0,0.0
147,6,0.08181753909306094,2.698519159238799e-06,-0.0,-0.0,12.0,0,0.0
155,6,0.08181499673026185,0.00033655499688967083,-0.0,-0.0,1.0,0,0.0
118,6,0.08179539580892836,4.6083813679431707e-05,-0.0,-0.0,9.0,0,0.0
211,6,0.08178400108012632,0.00014421898424277213,-0.0,-0.0,5.0,0,0.0
59,6,0.08177005050806246,0.00011321771298977712,-0.0,-0.0,5.0,0,0.0
226,6,0.0817615226369827,1.6742957754667387e-06,-0.0,-0.0,8.0,0,0.0
167,6,0.08174861942436734,0.00018904987267964746,-0.0,-0.0,1.0,0,0.0
57,6,0.08174174332153818,1.944865651604122e-05,-0.0,-0.0,6.0,0,0.0
53,6,0.08173243946602317,0.00015309440969257793,-0.0,-0.0,1.0,0,0.0
139,6,0.08172404213020533,0.00010356946589984428,-0.0,-0.0,2.0,0,0.0
117,6,0.08171272496815542,0.0001092844144309213,-0.0,-0.0,1.0,0,0.0
56,6,0.08169827036129147,7.716306584437671e-05,-0.0,-0.0,1.0,0,0.0
235,6,0.08167879128121884,3.387622123851575e-05,-0.0,-0.0,1.0,0,0.0
175,6,0.08167540654848085,2.6354592931876475e-05,-0.0,-0.0,1.0,0,0.0
76,6,0.08164965809277262,0.0,-0.0,-0.0,0.0,0,0.0
52,6,0.08164965809277253,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
91,6,0.08164965809277253,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
93,9,0.0677999921103495,0.001839488640282827,-0.0,-0.0,22.0,0,0.0
232,9,0.06767023906749739,0.00167460533517938,-0.0,-0.0,18.0,0,0.0
221,9,0.0672132903400358,0.0005048427309437553,-0.0,-0.0,23.0,0,0.0
83,9,0.06711585904655233,0.00028832874542494835,-0.0,-0.0,23.0,0,0.0
172,9,0.06707050384208418,0.00028013199475496187,-0.0,-0.0,20.0,0,0.0
156,9,0.06697557517236234,6.917939537309792e-05,-0.0,-0.0,20.0,0,0.0
176,9,0.06689798476678985,0.00011280565459470537,-0.0,-0.0,13.0,0,0.0
194,9,0.06680813817151879,5.739146584970989e-06,-0.0,-0.0,10.0,0,0.0
51,12,0.06027784276820499,0.005588973492143601,-0.0,-0.0,2.0,0,0.0
87,12,0.058572065353359494,0.0015205792369313853,-0.0,-0.0,11.0,0,0.0
62,12,0.058443740269384065,0.0008650420132823022,-0.0,-0.0,23.0,0,0.0
128,12,0.058157958993840304,0.0008781206602220815,-0.0,-0.0,2.0,0,0.0
217,12,0.05807759853041826,0.0007304060501484022,-0.0,-0.0,1.0,0,0.0
107,12,0.0580094406082273,0.0005480798033042911,-0.0,-0.0,2.0,0,0.0
181,12,0.05796635228034161,0.00011282179071880893,-0.0,-0.0,13.0,0,0.0
41,12,0.05794646673458319,0.00016122428162601565,-0.0,-0.0,10.0,0,0.0
50,12,0.05787346040173993,0.0002767657641965515,-0.0,-0.0,1.0,0,0.0
238,12,0.057777077271902594,6.25810312246955e-05,-0.0,-0.0,1.0,0,0.0
73,12,0.057764783070247426,3.526058310210356e-05,-0.0,-0.0,1.0,0,0.0
67,12,0.057763962959780694,2.5739178673989116e-06,-0.0,-0.0,2.0,0,0.0
198,12,0.05773502691896259,0.0,-0.0,-0.0,0.0,0,0.0
58,12,0.05773502691896259,0.0,-0.0,-0.0,0.0,0,0.0
220,12,0.05773502691896259,0.0,-0.0,-0.0,0.0,0,0.0
112,12,0.05773502691896249,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
174,12,0.05773502691896249,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
124,12,0.05773502691896249,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
