cluster,cluster_size,uncertainty,centroid_uncertainty,host_entropy,short_entropy,time_span,true_attack_alerts,true_attack_ratio
8653,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8654,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
359,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6062,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6882,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6908,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1167,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7005,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7010,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
429,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
419,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7026,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6581,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6612,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1285,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6740,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6778,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1223,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6857,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6477,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6479,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6517,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6506,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6544,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6538,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6541,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6520,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1410,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1435,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6328,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6352,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6351,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6340,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6361,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6404,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7089,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7083,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1079,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7134,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7126,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7131,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8539,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7066,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7071,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7059,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7060,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7085,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7073,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7077,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7079,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7048,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7049,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7053,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7054,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7055,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7042,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7043,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7064,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7030,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7031,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7017,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7022,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7047,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7032,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7036,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7038,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
663,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8204,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8205,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8223,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8215,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8200,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8217,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8218,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8043,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8038,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8094,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8095,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8147,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8178,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8179,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8146,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7813,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7814,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7876,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7877,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7953,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
