cluster,cluster_size,uncertainty,centroid_uncertainty,host_entropy,short_entropy,time_span,true_attack_alerts,true_attack_ratio
87,8,0.3846087600449628,0.09858779239084137,0.985056822321508,0.8112781244591328,6.0,0,0.0
162,115,0.38236236604940343,0.33939260029414087,0.4687643099380911,0.9331767254471711,50.0,0,0.0
148,9,0.38127827078391985,0.3654949227296983,1.0,-0.0,10.0,0,0.0
124,18,0.3794479116438908,0.43199203953321674,0.9182958340544896,-0.0,12.0,0,0.0
75,9,0.3698695808815733,0.3669757659161973,0.9182958340544896,-0.0,23.0,0,0.0
56,31,0.3570983204912001,0.4024929876360066,0.7225547072569758,0.205592508185083,60.0,0,0.0
95,7,0.3485879274965991,0.0003052620854894217,0.8322488896002307,0.9852281360342515,17.0,0,0.0
107,12,0.3441736240036421,0.32038632661232447,0.9463946303571862,-0.0,22.0,0,0.0
121,12,0.3302208361493126,0.28913321780023427,0.9463946303571862,-0.0,30.0,0,0.0
65,107,0.3237144510619893,0.26739453182418427,0.44101710323298954,0.7835900357608908,26.0,0,0.0
72,12,0.320113650889671,0.31195855499173974,0.8112781244591328,-0.0,22.0,0,0.0
156,84,0.3195971045921465,0.22388638114287196,0.6336043358349013,0.6780717892496292,19.801820993423462,0,0.0
170,51,0.31006967148582093,0.18956269310209006,0.4493681340801739,0.8600998611488475,24.52742099761963,0,0.0
68,12,0.30947646643540927,0.2882895031180718,0.8112781244591328,-0.0,23.0,0,0.0
94,15,0.27684370776571166,0.2595018370984137,0.7219280948873623,-0.0,10.0,0,0.0
89,15,0.27610799720429646,0.2570027272088491,0.7219280948873623,-0.0,38.0,0,0.0
144,8,0.25595918434619275,0.09619844612527984,-0.0,0.9463946303571862,0.0007860660552978516,0,0.0
118,86,0.25286502747031936,0.17461815164899575,0.27434253574006084,0.7415456616097846,24.2693989276886,0,0.0
152,4,0.2501770875476634,0.00011575010591857726,1.0,-0.0,9.0,0,0.0
125,18,0.23480809872511643,0.19913050631823237,0.6500224216483541,-0.0,40.0,0,0.0
137,6,0.23231502949498717,0.0012934179308471405,1.0,-0.0,6.0,0,0.0
149,6,0.23206357366295982,0.000271664230045654,1.0,-0.0,21.0,0,0.0
101,6,0.2319547221663438,0.0006161917684298635,1.0,-0.0,2.0,0,0.0
140,6,0.23188583799821427,9.274546888271562e-05,1.0,-0.0,14.0,0,0.0
164,6,0.2317616519512283,1.96166076571469e-06,1.0,-0.0,8.0,0,0.0
13,12,0.22699719275738695,0.10113039859910478,-0.0,0.825011210824177,0.12994885444641113,0,0.0
166,230,0.22619901968488826,0.15742317584523813,0.24660365700509854,0.6992808931026872,20.75749707221985,0,0.0
132,9,0.2048821224535441,0.0006456113847743694,0.9182958340544896,-0.0,13.0,0,0.0
82,9,0.2047584005732967,9.289609533569276e-05,0.9182958340544896,-0.0,22.0,0,0.0
112,9,0.20460250057656243,8.59578309879705e-05,0.9182958340544896,-0.0,11.0,0,0.0
136,9,0.20459342957223553,0.00015839263618744326,0.9182958340544896,-0.0,8.0,0,0.0
139,9,0.20445175069327884,2.873586813556539e-05,0.9182958340544896,-0.0,2.0,0,0.0
103,21,0.19240337818401215,0.0002852389098971786,0.9852281360342515,-0.0,61.0,0,0.0
98,48,0.19089271325263193,0.08901536269497579,-0.0,0.8124705732082964,7.034443140029907,0,0.0
160,18,0.1851352683852934,3.184463756822353e-05,0.9182958340544896,-0.0,17.0,0,0.0
131,21,0.18167274588787666,0.0011978534175408617,0.9141008920185653,-0.0,27.0,0,0.0
108,12,0.17986919220349357,0.0001190171706048071,0.8112781244591328,-0.0,28.0,0,0.0
91,15,0.16039857127616705,0.0003336325537467433,0.7219280948873623,-0.0,23.0,0,0.0
130,15,0.1602283381026449,0.0006034847607345739,0.7219280948873623,-0.0,2.0,0,0.0
172,2,0.14142135623730961,2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
77,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
168,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
78,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
69,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
147,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
167,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
113,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
120,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
74,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
83,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
115,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
127,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
41,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
44,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
43,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
146,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
155,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
40,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
90,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
84,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
80,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
85,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
105,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
49,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
55,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
171,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
129,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
109,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
123,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
114,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
93,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
106,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
60,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
92,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
150,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
71,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
63,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
67,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
116,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
117,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
134,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
100,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
141,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
135,3,0.11547005383792508,-2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
62,6,0.08347483805860467,0.004025091282095938,-0.0,-0.0,1.0,0,0.0
